"No.","Time","Source","Destination","Protocol","Length","Info"
"865","49.260420","192.168.1.19","54.255.193.226","TCP","54","59010  >  80 [ACK] Seq=2335 Ack=586 Win=131328 Len=0"
"866","49.747664","172.253.118.188","192.168.1.19","TLSv1.2","389","Application Data"
"867","49.798612","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=37 Ack=4019 Win=512 Len=0"
"868","49.870661","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"869","50.006784","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"870","50.007090","192.168.1.19","142.250.71.14","UDP","221","53677  >  443 Len=179"
"871","50.010303","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"872","50.017210","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"873","50.220300","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"874","50.224595","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"876","50.374873","192.168.1.19","142.250.182.46","UDP","655","58785  >  443 Len=613"
"877","50.378743","142.250.182.46","192.168.1.19","UDP","72","443  >  58785 Len=30"
"878","50.392496","192.168.1.19","142.250.182.46","UDP","75","58785  >  443 Len=33"
"879","50.393079","142.250.71.14","192.168.1.19","UDP","1287","443  >  53677 Len=1245"
"880","50.393348","142.250.71.14","192.168.1.19","UDP","154","443  >  53677 Len=112"
"881","50.393641","192.168.1.19","142.250.71.14","UDP","81","53677  >  443 Len=39"
"882","50.393956","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"883","50.393956","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"884","50.393956","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"885","50.393956","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"886","50.393956","142.250.71.14","192.168.1.19","UDP","218","443  >  53677 Len=176"
"887","50.394580","192.168.1.19","142.250.71.14","UDP","77","53677  >  443 Len=35"
"888","50.394733","192.168.1.19","142.250.71.14","UDP","77","53677  >  443 Len=35"
"889","50.394831","192.168.1.19","142.250.71.14","UDP","77","53677  >  443 Len=35"
"890","50.394927","192.168.1.19","142.250.71.14","UDP","77","53677  >  443 Len=35"
"891","50.395025","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"892","50.399269","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"896","50.528322","192.168.1.19","54.212.198.181","TCP","54","[TCP Dup ACK 369#1] 58712  >  443 [ACK] Seq=2 Ack=1 Win=513 Len=0"
"897","50.528501","192.168.1.19","54.212.198.181","TCP","54","58712  >  443 [ACK] Seq=2 Ack=65 Win=512 Len=0"
"899","50.594979","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"900","50.600564","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"901","50.688365","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"902","50.735867","142.250.182.46","192.168.1.19","UDP","1026","443  >  58785 Len=984"
"903","50.735867","142.250.182.46","192.168.1.19","UDP","90","443  >  58785 Len=48"
"904","50.737552","192.168.1.19","142.250.182.46","UDP","79","58785  >  443 Len=37"
"905","50.737998","142.250.182.46","192.168.1.19","UDP","78","443  >  58785 Len=36"
"906","50.737998","142.250.182.46","192.168.1.19","UDP","131","443  >  58785 Len=89"
"907","50.742069","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"908","50.742839","192.168.1.19","142.250.182.46","UDP","74","58785  >  443 Len=32"
"909","50.781781","54.212.198.181","192.168.1.19","TCP","54","443  >  58712 [ACK] Seq=65 Ack=3 Win=268 Len=0"
